NodeId	YN98.kappa	YN98.omega	YN98.freq_Codon1_Full.theta	YN98.freq_Codon1_Full.theta1	YN98.freq_Codon1_Full.theta2	YN98.freq_Codon2_Full.theta	YN98.freq_Codon2_Full.theta1	YN98.freq_Codon2_Full.theta2	YN98.freq_Codon3_Full.theta	YN98.freq_Codon3_Full.theta1	YN98.freq_Codon3_Full.theta2
34	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
35	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
37	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
38	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
39	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
40	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
41	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
42	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
43	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
44	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
45	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
46	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
47	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
48	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
49	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
50	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
51	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
52	12.4924	0.153383	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
36	12.4924	0.944975	0.446594	0.46971	0.567696	0.374549	0.277684	0.44014	0.366634	0.421688	0.443592
